accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
0.75,0.6428571428571428,0.787037037037037,0.7166666666666667,24,6,18,2,Random Forest,LOOCV,HTAN_MSK_SCLC,38217,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.25,0.4,,,4,0,4,0,Elastic Net,LOOCV,GSE173682,4333,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,7,0,7,0,scMeta-SAGE,LOOCV,2098-Colorectalcancer,8874,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.2,0.0666666666666666,1.0,1.0,5,4,1,1,Logistic Regression,LOOCV,2100-Ovariancancer,12994,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.9411764705882352,0.9696969696969696,,,17,0,17,0,Logistic Regression,LOOCV,UKIM-V,5882,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.375,0.2045454545454545,0.5,0.625,8,5,3,7,Random Forest,LOOCV,GSE167036,1036,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.7777777777777778,0.875,,,9,0,9,0,Logistic Regression,LOOCV,Laughney_Massague_2020,1390,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,5,0,5,0,scMeta-SAGE,LOOCV,He_Fan_2021,4684,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.375,0.2045454545454545,0.8,0.8766666666666667,8,5,3,7,scMeta-Tran,LOOCV,GSE167036,1036,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.7777777777777778,0.875,,,9,0,9,0,Random Forest,LOOCV,Laughney_Massague_2020,1390,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.375,0.2045454545454545,1.0,1.0,8,5,3,7,scMeta-GAT,LOOCV,GSE167036,1036,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.5714285714285714,0.4155844155844156,0.5,0.5,7,3,4,2,scMeta-GAT,LOOCV,Maynard_Bivona_2020,944,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,12,0,12,0,Logistic Regression,LOOCV,2102-Breastcancer,13604,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,6,0,6,0,scMeta-Tran,LOOCV,Zilionis_Klein_2019,1924,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.3170731707317073,0.3268759481853192,0.3333333333333333,0.5416410940706311,41,26,15,31,Elastic Net,LOOCV,MSK_SPECTRUM,198901,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,8,0,8,0,Random Forest,LOOCV,2096-Lungcancer,10596,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,20,0,20,0,scMeta-SAGE,LOOCV,Wu_etal_2021_BRCA,22380,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.7916666666666666,0.7299651567944251,0.5092592592592593,0.4212962962962963,24,6,18,2,Logistic Regression,LOOCV,HTAN_MSK_SCLC,38217,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.873015873015873,0.8612580834803057,0.9178321678321678,0.6752764466668211,63,11,52,8,scMeta-Tran,5foldCV,fold4,73243,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,5,0,5,0,Elastic Net,LOOCV,He_Fan_2021,4684,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,8,0,8,0,Elastic Net,LOOCV,Lambrechts_Thienpont_2018,6789,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.75,0.6999999999999998,0.7962962962962963,0.5917989417989419,24,6,18,2,scMeta-SAGE,LOOCV,HTAN_MSK_SCLC,38217,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8888888888888888,0.862415853566296,0.8679245283018868,0.7434126984126983,63,10,53,6,Random Forest,5foldCV,fold5,73366,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.873015873015873,0.8612580834803057,0.826923076923077,0.5427445139401661,63,11,52,8,Elastic Net,5foldCV,fold4,73243,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,8,0,8,0,scMeta-Tran,LOOCV,Lambrechts_Thienpont_2018,6789,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.796875,0.7659795992274263,0.7541478129713424,0.6012872525506694,64,13,51,8,Logistic Regression,5foldCV,fold3,80570,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
