accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
0.25,0.4,,,4,0,4,0,Logistic Regression,LOOCV,GSE173682,4333,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.2,0.0666666666666666,1.0,1.0,5,4,1,1,SGD,LOOCV,2100-Ovariancancer,12994,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.7777777777777778,0.875,,,9,0,9,0,SGD,LOOCV,Laughney_Massague_2020,1390,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.8571428571428571,0.8598639455782313,0.9169811320754716,0.7205918642760748,63,10,53,6,scMeta-Tran,5foldCV,fold5,73366,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.2,0.0666666666666666,1.0,1.0,5,4,1,1,scMeta-SAGE,LOOCV,2100-Ovariancancer,12994,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9,0.9473684210526316,,,10,0,10,0,scMeta-GAT,LOOCV,Chen_Zhang_2020,10429,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,10,0,10,0,Elastic Net,LOOCV,Chen_Zhang_2020,10429,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,12,0,12,0,Elastic Net,LOOCV,2102-Breastcancer,13604,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.828125,0.8152821939586646,0.7842592592592593,0.5058584267040149,64,10,54,10,SGD,5foldCV,fold1,113629,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.4,0.2285714285714285,1.0,1.0,5,3,2,0,scMeta-SAGE,LOOCV,Multi_modal_breast_cancer,6867,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,7,0,7,0,scMeta-Tran,LOOCV,Goveia_Carmeliet_2020,1470,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
